cpu,cpu_freq,date,gpu,gpu_freq,score,type_name
Intel Core i7-9700K Processor ,"3,600 MHz ",September 26 2020,NVidia Corporation NVIDIA GeForce RTX 3080 ,"1,980 MHz ",14732,Time Spy (1.2) by 아미시티아
Intel Core i7-9700K Processor ,"3,600 MHz ",September 26 2020,Palit Microsystems Ltd. NVIDIA GeForce RTX 3080 ,"1,965 MHz ",14732,Time Spy (1.2) by brettb
Intel Core i7-9700KF Processor ,"3,600 MHz ",September 22 2020,NVidia Corporation NVIDIA GeForce RTX 3080 ,"1,980 MHz ",14731,Time Spy (1.2) by inside987
AMD Ryzen 5 3600 ,"3,600 MHz ",September 23 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 3080 ","1,965 MHz ",14730,Time Spy (1.2) by DonJasser
AMD Ryzen 5 3600 ,"4,200 MHz ",September 24 2020,NVidia Corporation NVIDIA GeForce RTX 3080 ,"2,025 MHz ",14730,Time Spy (1.2) by meechinso
Intel Core i7-8700 Processor ,"3,192 MHz ",September 22 2020,NVidia Corporation NVIDIA GeForce RTX 3080 ,"2,010 MHz ",14727,Time Spy (1.2) by lenoare
Intel Core i7-8700K Processor ,"3,696 MHz ",September 21 2020,NVidia Corporation NVIDIA GeForce RTX 3080 ,"1,965 MHz ",14726,Time Spy (1.2) by Cilraaz
Intel Core i7-9700K Processor ,"3,600 MHz ",September 22 2020,NVidia Corporation NVIDIA GeForce RTX 3080 ,"1,965 MHz ",14726,Time Spy (1.2) by Luxferro
Intel Core i5-10600 Processor ,"3,312 MHz ",September 27 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 3080 ","1,965 MHz ",14726,Time Spy (1.2) by Mother-2
Intel Core i7-7820X Processor ,"3,600 MHz ",September 27 2020,EVGA Corporation NVIDIA GeForce RTX 3080 ,"2,040 MHz ",14726,Time Spy (1.2) by Zurkster
AMD Ryzen 7 2700X ,"3,700 MHz ",September 21 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 3080 ","1,965 MHz ",14725,Time Spy (1.2) by ferrarieeeee
AMD Ryzen 5 3600 ,"4,300 MHz ",September 25 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 3080 ","2,010 MHz ",14723,Time Spy (1.2) by dongguri-2
Intel Core i9-10900K Processor ,"3,696 MHz ",September 23 2020,Galax NVIDIA GeForce RTX 3080 ,"2,010 MHz ",14722,Time Spy (1.2) by shenmodongxi
Intel Core i9-10900K Processor ,"3,696 MHz ",September 26 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 3080 ","1,980 MHz ",14722,Time Spy (1.0)
Intel Core i9-10900K Processor ,"3,696 MHz ",September 27 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 3080 ","1,815 MHz ",14722,Time Spy (1.2) by alanhaveadream
Intel Core i7-8700K Processor ,"3,696 MHz ",September 20 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 3080 ","2,010 MHz ",14721,Time Spy (1.2) by wywxm-Hu
Intel Core i7-8700K Processor ,"3,696 MHz ",September 19 2020,NVidia Corporation NVIDIA GeForce RTX 3080 ,"1,995 MHz ",14720,Time Spy (1.2) by Zoddo
Intel Core i7-8700K Processor ,"3,696 MHz ",September 21 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 3080 ","2,010 MHz ",14720,Time Spy (1.2) by Whipdash
Intel Core i7-7820X Processor ,"3,600 MHz ",September 25 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 3080 ","1,800 MHz ",14720,Time Spy (1.2) by XeNoN
Intel Core i7-8700K Processor ,"3,696 MHz ",September 21 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 3080 ","2,010 MHz ",14719,Time Spy (1.2) by negerzebra
AMD Ryzen 5 3600 ,"4,200 MHz ",September 24 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 3080 ","1,935 MHz ",14719,Time Spy (1.2) by dogcm79
AMD Ryzen 7 3700X ,"3,900 MHz ",September 26 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 3080 ","1,710 MHz ",14719,Time Spy (1.2) by polishkid
AMD Ryzen 5 3600 ,"3,600 MHz ",September 22 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 3080 ","1,890 MHz ",14718,Time Spy (1.2) by Cheneral
AMD Ryzen 5 3600X ,"3,793 MHz ",September 22 2020,NVidia Corporation NVIDIA GeForce RTX 3080 ,"2,010 MHz ",14718,Time Spy (1.2) by kyleroden-2
AMD Ryzen 5 3600X ,"3,793 MHz ",September 25 2020,Palit Microsystems Ltd. NVIDIA GeForce RTX 3080 ,"2,055 MHz ",14718,Time Spy (1.2) by jpg-2
AMD Ryzen 5 3600X ,"3,793 MHz ",September 22 2020,NVidia Corporation NVIDIA GeForce RTX 3080 ,"1,980 MHz ",14717,Time Spy (1.2) by kyleroden-2
Intel Core i7-9700K Processor ,"3,600 MHz ",September 23 2020,Palit Microsystems Ltd. NVIDIA GeForce RTX 3080 ,"1,965 MHz ",14717,Time Spy (1.2) by Tharios
Intel Core i7-8700K Processor ,"3,696 MHz ",September 19 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 3080 ","1,965 MHz ",14716,Time Spy (1.2) by Izan-2
AMD Ryzen 5 3600 ,"3,600 MHz ",September 18 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 3080 ","1,995 MHz ",14715,Time Spy (1.2) by stevenpassenger
AMD Ryzen 7 2700X ,"3,700 MHz ",September 21 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 3080 ","1,980 MHz ",14715,Time Spy (1.2) by El_Juli
AMD Ryzen 5 3600 ,"3,950 MHz ",September 25 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 3080 ","1,920 MHz ",14715,Time Spy (1.2) by Rareless
AMD Ryzen 5 3600 ,"4,300 MHz ",September 25 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 3080 ","1,995 MHz ",14714,Time Spy (1.2) by dongguri-2
AMD Ryzen 7 3700X ,"3,600 MHz ",September 24 2020,EVGA Corporation NVIDIA GeForce RTX 3080 ,"1,965 MHz ",14713,Time Spy (1.2) by OyShvey
Intel Core i7-8700K Processor ,"3,696 MHz ",September 23 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 3080 ","1,995 MHz ",14712,Time Spy (1.2) by Brandyman
Intel Core i7-8086K Processor ,"4,007 MHz ",September 23 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 3080 ","2,040 MHz ",14712,Time Spy (1.2) by Grisu-3
Intel Core i7-8700K Processor ,"3,700 MHz ",September 18 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 3080 ","2,025 MHz ",14711,Time Spy (1.0) by [TT] anthony256
Intel Core i5-10400 Processor ,"2,900 MHz ",September 25 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 3080 ","1,935 MHz ",14711,Time Spy (1.2) by boythnw
Intel Core i7-8700K Processor ,"3,700 MHz ",September 25 2020,ZOTAC NVIDIA GeForce RTX 3080 ,"1,950 MHz ",14711,Time Spy (1.2) by jangminsuck
AMD Ryzen 5 3600 ,"4,200 MHz ",September 23 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 3080 ","1,935 MHz ",14710,Time Spy (1.2) by 大聪明
Intel Core i5-8600K Processor ,"3,600 MHz ",September 24 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 3080 ","2,010 MHz ",14710,Time Spy (1.2)
Intel Core i7-10700K Processor ,"3,792 MHz ",September 25 2020,ZOTAC NVIDIA GeForce RTX 3080 ,"1,965 MHz ",14710,Time Spy (1.0)
AMD Ryzen 5 3600 ,"3,600 MHz ",September 26 2020,Palit Microsystems Ltd. NVIDIA GeForce RTX 3080 ,"2,010 MHz ",14709,Time Spy (1.2) by SPACE DOGE
AMD Ryzen 5 3600X ,"3,793 MHz ",September 27 2020,NVidia Corporation NVIDIA GeForce RTX 3080 ,"1,980 MHz ",14709,Time Spy (1.2) by kyleroden-2
Intel Core i7-7700K Processor ,"4,200 MHz ",September 20 2020,NVidia Corporation NVIDIA GeForce RTX 3080 ,"2,130 MHz ",14707,Time Spy (1.2) by tlsalsrud1472
AMD Ryzen 5 3600 ,"3,600 MHz ",September 18 2020,ZOTAC NVIDIA GeForce RTX 3080 ,"2,040 MHz ",14705,Time Spy (1.2) by sd0953219450
AMD Ryzen 5 3600X ,"3,793 MHz ",September 23 2020,NVidia Corporation NVIDIA GeForce RTX 3080 ,"2,010 MHz ",14705,Time Spy (1.2) by kyleroden-2
Intel Core i7-8700K Processor ,"3,696 MHz ",September 24 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 3080 ","1,965 MHz ",14705,Time Spy (1.2) by Vash the Stampede-3
AMD Ryzen 5 3600 ,"4,200 MHz ",September 27 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 3080 ","1,980 MHz ",14705,Time Spy (1.2) by dogcm79
Intel Core i9-9900K Processor ,"3,600 MHz ",September 23 2020,EVGA Corporation NVIDIA GeForce RTX 3080 ,"2,070 MHz ",14704,Time Spy (1.2) by Jonas-7765
Intel Core i5-10600K Processor ,"4,104 MHz ",September 23 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 3080 ","1,965 MHz ",14704,Time Spy (1.2)
Intel Core i7-10700 Processor ,"2,904 MHz ",September 26 2020,EVGA Corporation NVIDIA GeForce RTX 3080 ,"2,025 MHz ",14704,Time Spy (1.2) by gep88
AMD Ryzen 7 3700X ,"3,600 MHz ",September 27 2020,Gainward GmbH NVIDIA GeForce RTX 3080 ,"2,025 MHz ",14702,Time Spy (1.2) by Rush_B
AMD Ryzen 7 3700X ,"3,593 MHz ",September 25 2020,NVidia Corporation NVIDIA GeForce RTX 3080 ,"2,025 MHz ",14701,Time Spy (1.2) by fabricebou
AMD Ryzen 7 3700X ,"3,593 MHz ",September 27 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 3080 ","1,950 MHz ",14700,Time Spy (1.2) by 58945549
Intel Core i7-9700K Processor ,"3,600 MHz ",September 27 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 3080 ","2,130 MHz ",14700,Time Spy (1.2) by Moxie-8465
Intel Core i7-8700K Processor ,"3,696 MHz ",September 17 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 3080 ","1,920 MHz ",14698,Time Spy (1.0) by Jaajo
AMD Ryzen 7 3700X ,"3,600 MHz ",September 27 2020,EVGA Corporation NVIDIA GeForce RTX 3080 ,"1,965 MHz ",14698,Time Spy (1.2) by OyShvey
AMD Ryzen 7 3800X ,"4,200 MHz ",September 21 2020,ZOTAC NVIDIA GeForce RTX 3080 ,"2,010 MHz ",14697,Time Spy (1.2) by MisooSoup
Intel Core i9-9900K Processor ,"3,600 MHz ",September 26 2020,EVGA Corporation NVIDIA GeForce RTX 3080 ,"2,025 MHz ",14697,Time Spy (1.2) by Jonas-7765
AMD Ryzen 5 3600XT ,"3,793 MHz ",September 21 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 3080 ","1,980 MHz ",14696,Time Spy (1.2) by Kokken-2
Intel Core i9-9900K Processor ,"3,600 MHz ",September 23 2020,NVidia Corporation NVIDIA GeForce RTX 3080 ,"1,980 MHz ",14696,Time Spy (1.2) by WhoSalty
Intel Core i7-8700K Processor ,"3,696 MHz ",September 17 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 3080 ","1,905 MHz ",14695,Time Spy (1.0) by Jaajo
Intel Core i7-9700K Processor ,"3,600 MHz ",September 22 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 3080 ","1,920 MHz ",14695,Time Spy (1.2) by Mojeer
AMD Ryzen 5 3600 ,"3,993 MHz ",September 24 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 3080 ","2,010 MHz ",14695,Time Spy (1.2) by Psychedelic Aneurysm
Intel Core i7-8700K Processor ,"3,696 MHz ",September 19 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 3080 ","1,980 MHz ",14694,Time Spy (1.2) by Hebulba
Intel Core i7-10700KF Processor ,"3,792 MHz ",September 25 2020,ZOTAC NVIDIA GeForce RTX 3080 ,"1,935 MHz ",14694,Time Spy (1.2) by Liger546
AMD Ryzen 7 3700X ,"3,600 MHz ",September 23 2020,EVGA Corporation NVIDIA GeForce RTX 3080 ,"1,920 MHz ",14693,Time Spy (1.2) by ImWild
AMD Ryzen 7 3700X ,"3,600 MHz ",September 24 2020,EVGA Corporation NVIDIA GeForce RTX 3080 ,"1,950 MHz ",14692,Time Spy (1.2) by OyShvey
Intel Core i7-8700K Processor ,"3,696 MHz ",September 25 2020,ZOTAC NVIDIA GeForce RTX 3080 ,"1,905 MHz ",14692,Time Spy (1.2) by Syctra
AMD Ryzen 7 2700X ,"3,700 MHz ",September 18 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 3080 ","1,980 MHz ",14690,Time Spy (1.2) by Jones-1668
Intel Core i7-10700K Processor ,"3,792 MHz ",September 24 2020,Colorful NVIDIA GeForce RTX 3080 ,"1,905 MHz ",14690,Time Spy (1.2) by szufo
AMD Ryzen 5 3600 ,"4,300 MHz ",September 25 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 3080 ","1,995 MHz ",14690,Time Spy (1.2) by dongguri-2
Intel Core i7-9700 Processor ,"3,000 MHz ",September 25 2020,"PNY Technologies, Inc. NVIDIA GeForce RTX 3080 ","2,010 MHz ",14690,Time Spy (1.2)
Intel Core i7-9700KF Processor ,"3,600 MHz ",September 26 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 3080 ","2,010 MHz ",14690,Time Spy (1.2) by StupeTube
Intel Core i7-7820X Processor ,"3,600 MHz ",September 25 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 3080 ","1,815 MHz ",14689,Time Spy (1.2) by XeNoN
Intel Core i7-9700K Processor ,"3,600 MHz ",September 23 2020,NVidia Corporation NVIDIA GeForce RTX 3080 ,"1,965 MHz ",14688,Time Spy (1.2) by Luxferro
Intel Core i7-8086K Processor ,"4,007 MHz ",September 24 2020,Palit Microsystems Ltd. NVIDIA GeForce RTX 3080 ,"2,010 MHz ",14688,Time Spy (1.2) by Blinksprite
Intel Core i7-9700K Processor ,"3,600 MHz ",September 21 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 3080 ","1,995 MHz ",14686,Time Spy (1.2) by carrotman-2
Intel Core i9-10900K Processor ,"3,696 MHz ",September 23 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 3080 ","1,980 MHz ",14686,Time Spy (1.2) by saozahng213
AMD Ryzen 5 3600XT ,"4,531 MHz ",September 25 2020,EVGA Corporation NVIDIA GeForce RTX 3080 ,"1,980 MHz ",14684,Time Spy (1.2) by CustomRigs DE
Intel Core i9-9900K Processor ,"3,600 MHz ",September 26 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 3080 ","1,980 MHz ",14684,Time Spy (1.2) by Kawa-3130
Intel Core i7-8700K Processor ,"3,696 MHz ",September 26 2020,Palit Microsystems Ltd. NVIDIA GeForce RTX 3080 ,"2,055 MHz ",14684,Time Spy (1.2) by rakabos-2
Intel Core i9-9900K Processor ,"3,600 MHz ",September 23 2020,EVGA Corporation NVIDIA GeForce RTX 3080 ,"1,995 MHz ",14683,Time Spy (1.2) by Jonas-7765
Intel Core i7-9700K Processor ,"3,600 MHz ",September 26 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 3080 ","1,965 MHz ",14682,Time Spy (1.2) by Pandafrank
AMD Ryzen 7 3700X ,"3,593 MHz ",September 22 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 3080 ","1,935 MHz ",14681,"Time Spy (1.2) by Angry Rice, Esq."
AMD Ryzen 5 3600 ,"3,600 MHz ",September 22 2020,Palit Microsystems Ltd. NVIDIA GeForce RTX 3080 ,"1,920 MHz ",14681,Time Spy (1.2) by SPACE DOGE
Intel Core i9-10900K Processor ,"3,696 MHz ",September 24 2020,Galax NVIDIA GeForce RTX 3080 ,"2,010 MHz ",14677,Time Spy (1.2) by 53578165
AMD Ryzen 5 3600 ,"3,600 MHz ",September 21 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 3080 ","2,025 MHz ",14674,Time Spy (1.2) by NiekYako
AMD Ryzen 5 3600X ,"3,793 MHz ",September 22 2020,NVidia Corporation NVIDIA GeForce RTX 3080 ,"2,025 MHz ",14674,Time Spy (1.2) by kyleroden-2
Intel Core i9-10940X X-series Processor ,"3,301 MHz ",September 26 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 3080 ","1,965 MHz ",14674,Time Spy (1.2) by fanairchina
AMD Ryzen 9 3900XT ,"3,793 MHz ",September 27 2020,ZOTAC NVIDIA GeForce RTX 3080 ,"1,950 MHz ",14674,Time Spy (1.2) by FYM UhOh
AMD Ryzen 5 3600 ,"3,593 MHz ",September 19 2020,NVidia Corporation NVIDIA GeForce RTX 3080 ,"2,085 MHz ",14673,Time Spy (1.2) by ashey11
Intel Core i7-9700K Processor ,"3,600 MHz ",September 25 2020,NVidia Corporation NVIDIA GeForce RTX 3080 ,"1,980 MHz ",14673,Time Spy (1.2) by hc9246
AMD Ryzen 5 3600X ,"3,793 MHz ",September 20 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 3080 ","1,965 MHz ",14672,Time Spy (1.2) by jeffrey.min
Intel Core i7-8700K Processor ,"3,696 MHz ",September 25 2020,ZOTAC NVIDIA GeForce RTX 3080 ,"1,890 MHz ",14672,Time Spy (1.2) by Syctra
Intel Core i7-8700 Processor ,"3,200 MHz ",September 18 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 3080 ","1,965 MHz ",14671,Time Spy (1.2) by EvilChilly
AMD Ryzen 7 3700X ,"3,593 MHz ",September 23 2020,ZOTAC NVIDIA GeForce RTX 3080 ,"1,980 MHz ",14671,Time Spy (1.2) by Hambone-1506
Intel Core i7-8700K Processor ,"3,696 MHz ",September 21 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 3080 ","2,025 MHz ",14670,Time Spy (1.2) by gamingmuso
AMD Ryzen 5 3600X ,"3,793 MHz ",September 23 2020,Palit Microsystems Ltd. NVIDIA GeForce RTX 3080 ,"2,025 MHz ",14670,Time Spy (1.2) by jpg-2
AMD Ryzen 5 3600X ,"3,793 MHz ",September 25 2020,Palit Microsystems Ltd. NVIDIA GeForce RTX 3080 ,"2,010 MHz ",14670,Time Spy (1.2) by jpg-2
Intel Core i7-9700K Processor ,"3,600 MHz ",September 26 2020,ZOTAC NVIDIA GeForce RTX 3080 ,"1,935 MHz ",14670,Time Spy (1.2) by suyeon9597
AMD Ryzen 5 3600 ,"3,593 MHz ",September 26 2020,Gainward GmbH NVIDIA GeForce RTX 3080 ,"2,010 MHz ",14669,Time Spy (1.2) by Pyro-6136
AMD Ryzen 7 3700X ,"3,600 MHz ",September 26 2020,ZOTAC NVIDIA GeForce RTX 3080 ,"2,025 MHz ",14669,Time Spy (1.2) by gosnoopy
Intel Core i7-8700K Processor ,"3,696 MHz ",September 20 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 3080 ","1,920 MHz ",14668,Time Spy (1.2) by Jaajo
Intel Core i9-9900K Processor ,"3,600 MHz ",September 21 2020,NVidia Corporation NVIDIA GeForce RTX 3080 ,"1,980 MHz ",14668,Time Spy (1.2) by WhoSalty
AMD Ryzen 7 3700X ,"3,593 MHz ",September 26 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 3080 ","1,950 MHz ",14667,Time Spy (1.2) by Nummisuutari
Intel Core i7-9700K Processor ,"3,600 MHz ",September 21 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 3080 ","2,010 MHz ",14666,Time Spy (1.2) by Left Leg Of The Forbidden One
Intel Core i7-9700K Processor ,"3,600 MHz ",September 17 2020,Palit Microsystems Ltd. NVIDIA GeForce RTX 3080 ,"1,965 MHz ",14665,Time Spy (1.0) by slukacs
Intel Core i7-5960X Processor ,"3,000 MHz ",September 18 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 3080 ","2,010 MHz ",14664,Time Spy (1.0) by unreal-2
Intel Core i7-8700K Processor ,"3,696 MHz ",September 21 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 3080 ","2,010 MHz ",14664,Time Spy (1.2) by 1049135597h
Intel Core i7-9700K Processor ,"3,600 MHz ",September 24 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 3080 ","1,890 MHz ",14664,Time Spy (1.2) by TheApac
Intel Core i7-9700K Processor ,"3,600 MHz ",September 18 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 3080 ","1,965 MHz ",14663,Time Spy (1.2) by Allu-2974
AMD Ryzen 5 3600X ,"3,793 MHz ",September 25 2020,Palit Microsystems Ltd. NVIDIA GeForce RTX 3080 ,"2,040 MHz ",14663,Time Spy (1.2) by jpg-2
Intel Core i7-8700K Processor ,"3,696 MHz ",September 26 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 3080 ","1,995 MHz ",14663,Time Spy (1.2) by PaleoW
Intel Core i7-8700K Processor ,"3,696 MHz ",September 24 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 3080 ","1,995 MHz ",14659,Time Spy (1.2) by HelloThere
Intel Core i9-9900KF Processor ,"3,600 MHz ",September 21 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 3080 ","2,055 MHz ",14658,Time Spy (1.2) by RuiFangLYJ012
Intel Core i7-7820X Processor ,"3,600 MHz ",September 27 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 3080 ","1,875 MHz ",14658,Time Spy (1.2) by XeNoN
AMD Ryzen 7 3700X ,"3,600 MHz ",September 27 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 3080 ","1,995 MHz ",14657,Time Spy (1.2) by 996754363
Intel Core i7-8700K Processor ,"3,696 MHz ",September 17 2020,ZOTAC NVIDIA GeForce RTX 3080 ,"1,995 MHz ",14656,Time Spy (1.0)
Intel Xeon Processor E5-2680 ,"2,500 MHz ",September 22 2020,Palit Microsystems Ltd. NVIDIA GeForce RTX 3080 ,"2,010 MHz ",14656,Time Spy (1.2) by Xwing669
AMD Ryzen 9 3900X ,"4,100 MHz ",September 25 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 3080 ","1,980 MHz ",14656,Time Spy (1.2) by Blake Ward
AMD Ryzen 7 3800X ,"3,893 MHz ",September 26 2020,NVidia Corporation NVIDIA GeForce RTX 3080 ,"1,950 MHz ",14656,Time Spy (1.2) by AdobeWan
Intel Core i7-10700F Processor ,"2,904 MHz ",September 26 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 3080 ","1,980 MHz ",14655,Time Spy (1.2)
Intel Core i7-9700K Processor ,"3,600 MHz ",September 24 2020,NVidia Corporation NVIDIA GeForce RTX 3080 ,"2,010 MHz ",14654,Time Spy (1.2) by megakaper
Intel Core i7-8700K Processor ,"3,696 MHz ",September 26 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 3080 ","1,935 MHz ",14654,Time Spy (1.0)
Intel Core i7-8700K Processor ,"3,700 MHz ",September 27 2020,EVGA Corporation NVIDIA GeForce RTX 3080 ,"1,950 MHz ",14654,Time Spy (1.2) by Cubbon
AMD Ryzen 5 3600XT ,"3,793 MHz ",September 21 2020,ZOTAC NVIDIA GeForce RTX 3080 ,"2,010 MHz ",14652,Time Spy (1.2) by Jack Jaliman
AMD Ryzen 5 3600X ,"3,793 MHz ",September 22 2020,NVidia Corporation NVIDIA GeForce RTX 3080 ,"2,025 MHz ",14652,Time Spy (1.2) by kyleroden-2
Intel Core i9-10980XE Extreme Edition Processor ,"3,000 MHz ",September 26 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 3080 ","1,995 MHz ",14652,Time Spy (1.2) by Changsan
Intel Core i5-10600K Processor ,"4,104 MHz ",September 25 2020,EVGA Corporation NVIDIA GeForce RTX 3080 ,"1,875 MHz ",14651,Time Spy (1.2) by Megatherium
AMD Ryzen 5 3600 ,"3,593 MHz ",September 19 2020,NVidia Corporation NVIDIA GeForce RTX 3080 ,"2,070 MHz ",14650,Time Spy (1.2) by ashey11
Intel Core i7-8700K Processor ,"3,696 MHz ",September 20 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 3080 ","1,920 MHz ",14650,Time Spy (1.2) by Jaajo
AMD Ryzen 5 3600 ,"4,200 MHz ",September 20 2020,NVidia Corporation NVIDIA GeForce RTX 3080 ,"2,040 MHz ",14650,Time Spy (1.2) by gjangkek1
AMD Ryzen 7 3700X ,"4,192 MHz ",September 20 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 3080 ","1,995 MHz ",14650,Time Spy (1.2) by kimi440618-2
Intel Core i9-9900K Processor ,"3,600 MHz ",September 21 2020,Palit Microsystems Ltd. NVIDIA GeForce RTX 3080 ,"1,995 MHz ",14650,Time Spy (1.2) by Ozibey
AMD Ryzen 5 3600 ,"4,200 MHz ",September 24 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 3080 ","2,040 MHz ",14650,Time Spy (1.2) by R3NVL (Reynolds)
Intel Core i7-8700K Processor ,"3,700 MHz ",September 25 2020,ZOTAC NVIDIA GeForce RTX 3080 ,"1,935 MHz ",14650,Time Spy (1.2) by jangminsuck
Intel Core i7-8700K Processor ,"3,696 MHz ",September 26 2020,EVGA Corporation NVIDIA GeForce RTX 3080 ,"2,025 MHz ",14649,Time Spy (1.2) by Hellacious1789
Intel Core i7-9700K Processor ,"3,600 MHz ",September 26 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 3080 ","1,950 MHz ",14648,Time Spy (1.2) by juffbox
Intel Core i7-8700K Processor ,"3,696 MHz ",September 26 2020,EVGA Corporation NVIDIA GeForce RTX 3080 ,"2,040 MHz ",14647,Time Spy (1.2) by Hellacious1789
Intel Core i7-8086K Processor ,"4,007 MHz ",September 17 2020,NVidia Corporation NVIDIA GeForce RTX 3080 ,"1,995 MHz ",14646,Time Spy (1.0) by Rock-4
AMD Ryzen 7 3700X ,"3,900 MHz ",September 20 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 3080 ","1,935 MHz ",14646,Time Spy (1.2) by 以暴制暴
Intel Core i9-9900K Processor ,"3,600 MHz ",September 27 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 3080 ","1,980 MHz ",14646,Time Spy (1.2) by SuDDi
Intel Core i7-9700K Processor ,"3,600 MHz ",September 25 2020,NVidia Corporation NVIDIA GeForce RTX 3080 ,"2,010 MHz ",14645,Time Spy (1.2) by Doz355
AMD Ryzen 5 3600X ,"3,800 MHz ",September 19 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 3080 ","2,040 MHz ",14644,Time Spy (1.2) by Sleeqb7
Intel Core i9-9900KF Processor ,"3,600 MHz ",September 21 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 3080 ","2,055 MHz ",14644,Time Spy (1.2) by RuiFangLYJ012
Intel Xeon Processor E5-2680 v3 ,"2,500 MHz ",September 23 2020,EVGA Corporation NVIDIA GeForce RTX 3080 ,"1,995 MHz ",14644,Time Spy (1.2) by abonee
