cpu,cpu_freq,date,gpu,gpu_freq,score,type_name
Intel Core i7-10700K Processor ,"3,801 MHz ",July 10 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,145 MHz ",12300,Time Spy (1.0) by vunguyenkym
Intel Core i9-10900K Processor ,"3,696 MHz ",August 9 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,025 MHz ",12300,Time Spy (1.2) by Bakorlam
Intel Core i9-9900K Processor ,"3,600 MHz ",April 1 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,115 MHz ",12299,Time Spy (1.0) by M4yd1e
Intel Core i9-9900K Processor ,"3,600 MHz ",July 30 2019,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,115 MHz ",12299,Time Spy (1.0) by mohamad1991
Intel Core i9-9900K Processor ,"3,600 MHz ",July 30 2019,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,115 MHz ",12299,Time Spy (1.0) by mohamad1991
Intel Core i9-9900K Processor ,"3,600 MHz ",August 11 2019,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,100 MHz ",12299,Time Spy (1.0) by lyriixapple
Intel Core i9-9900K Processor ,"3,600 MHz ",October 12 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,115 MHz ",12299,Time Spy (1.0) by Nob912_UWG
Intel Core i9-9900K Processor ,"3,600 MHz ",December 12 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,115 MHz ",12299,Time Spy (1.0) by ti4600
Intel Core i9-9900K Processor ,"3,600 MHz ",May 31 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,115 MHz ",12298,Time Spy (1.0) by ElConrado
Intel Core i9-9900K Processor ,"3,600 MHz ",June 21 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,115 MHz ",12298,Time Spy (1.0) by TwstdPlsre
Intel Core i9-9900K Processor ,"3,600 MHz ",June 28 2019,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,130 MHz ",12298,Time Spy (1.0) by mohamad1991
