benchmark,benchmark_version,cpu_clock_freq,cpu_cores,cpu_litho,cpu_make,cpu_score,cpu_sku,cpu_socket,cpu_tdp,cpu_test,date,gpu,gpu_avg_clock_freq,gpu_avg_memclock_freq,gpu_avg_temp,gpu_clock_freq,gpu_count,gpu_driver_status,gpu_driver_version,gpu_memclock_freq,gpu_score,gpu_vendor,gpu_vram,gt1,gt2,os,ram,ram_clock_freq,score,storage,user
Time Spy,1.2,4509,16,7,AMD,16536,Ryzen 9 3950X,AM4,105,55.56,September 29 2020,NVIDIA GeForce RTX 3080,1965,1282,46,2190,1,Approved ,27.21.14.5655,1282,18973,Palit Microsystems Ltd.,10240,125.49,107.4,64-bit Windows 10 (10.0.19041),32768,3740,18562,500 GB  Sabrent Rocket 4 SCSI Disk Device,VPII-2
Time Spy,1.2,4509,16,7,AMD,16536,Ryzen 9 3950X,AM4,105,55.56,September 29 2020,NVIDIA GeForce RTX 3080,1974,1282,46,2205,1,Approved ,27.21.14.5655,1282,18971,Palit Microsystems Ltd.,10240,124.88,107.83,64-bit Windows 10 (10.0.19041),32768,3740,18561,500 GB  Sabrent Rocket 4 SCSI Disk Device,VPII-2
Time Spy,1.2,4509,16,7,AMD,16486,Ryzen 9 3950X,AM4,105,55.39,September 24 2020,NVIDIA GeForce RTX 3080,1955,1281,46,2190,1,Approved ,27.21.14.5638,1281,18982,Palit Microsystems Ltd.,10240,124.9,107.94,64-bit Windows 10 (10.0.19041),32768,3740,18560,500 GB  Sabrent Rocket 4 SCSI Disk Device,VPII-2
Time Spy,1.0,5303,10,14,Intel,15724,Core i9-10900K Processor,FCLGA1200,125,52.83,September 18 2020,NVIDIA GeForce RTX 3080,1962,1282,50,2160,1,Approved ,27.21.14.5638,1282,19159,"Asustek Computer, Inc.",10240,125.81,109.12,64-bit Windows 10 (10.0.19041),32768,3600,18551,500 GB Samsung SSD 860 EVO 500GB,Arne Saknussemm
Time Spy,1.2,5308,10,14,Intel,16310,Core i9-10900K Processor,FCLGA1200,125,54.8,September 29 2020,NVIDIA GeForce RTX 3080,1934,1304,44,2070,1,Approved ,27.21.14.5655,1304,19007,"Asustek Computer, Inc.",10240,125.71,107.6,64-bit Windows 10 (10.0.19041),16384,4402,18546,"1,024 GB ADATA SX8200PNP",raufzero
Time Spy,1.2,5308,10,14,Intel,16340,Core i9-10900K Processor,FCLGA1200,125,54.9,September 29 2020,NVIDIA GeForce RTX 3080,1935,1300,45,2070,1,Approved ,27.21.14.5655,1300,18990,"Asustek Computer, Inc.",10240,125.75,107.38,64-bit Windows 10 (10.0.19041),16384,4404,18539,"1,024 GB ADATA SX8200PNP",raufzero
Time Spy,1.2,5002,10,14,Intel,15641,Core i9-10900KF Processor,FCLGA1200,125,52.55,September 28 2020,NVIDIA GeForce RTX 3080,1964,1363,47,2100,1,Approved ,27.21.14.5655,1363,19150,"Micro-Star International Co ., Ltd.",10240,126.98,108.17,64-bit Windows 10 (10.0.19041),16384,4398,18526,"1,024 GB ADATA SX8200PNP",TOWA ERIO
Time Spy,1.2,4509,16,7,AMD,16280,Ryzen 9 3950X,AM4,105,54.7,September 29 2020,NVIDIA GeForce RTX 3080,1978,1282,46,2220,1,Approved ,27.21.14.5655,1282,18988,Palit Microsystems Ltd.,10240,124.84,108.04,64-bit Windows 10 (10.0.19041),32768,3740,18525,500 GB  Sabrent Rocket 4 SCSI Disk Device,VPII-2
Time Spy,1.2,5404,10,14,Intel,16693,Core i9-10900K Processor,FCLGA1200,125,56.09,September 21 2020,NVIDIA GeForce RTX 3080,1915,1345,54,2160,1,Approved ,27.21.14.5638,1345,18887,Palit Microsystems Ltd.,10240,124.63,107.13,64-bit Windows 10 (10.0.18362),16384,4700,18521,"1,024 GB ADATA SX8200PNP",Mumriken-2
Time Spy,1.2,4904,10,14,Intel,15003,Core i9-10900KF Processor,FCLGA1200,125,50.41,September 23 2020,NVIDIA GeForce RTX 3080,1988,1250,45,2100,1,Approved ,27.21.14.5638,1250,19316,"Micro-Star International Co ., Ltd.",10240,127.5,109.53,64-bit Windows 10 (10.0.19041),32768,4000,18517,"1,000 GB Samsung SSD 970 EVO Plus 1TB",Ustinel
Time Spy,1.2,5500,10,14,Intel,17087,Core i9-10900K Processor,FCLGA1200,125,57.41,September 21 2020,NVIDIA GeForce RTX 3080,N/A,N/A,N/A,1555,1,Approved ,27.21.14.5638,1345,18789,Palit Microsystems Ltd.,10240,123.82,106.69,64-bit Windows 10 (10.0.18362),16384,4700,18512,"1,024 GB ADATA SX8200PNP",Mumriken-2
Time Spy,1.2,5203,10,14,Intel,15476,Core i9-10900K Processor,FCLGA1200,125,52.0,September 20 2020,NVIDIA GeForce RTX 3080,1966,1253,54,2085,1,Approved ,27.21.14.5638,1263,19149,"Giga-Byte Technology Co., Ltd.",10240,126.67,108.39,64-bit Windows 10 (10.0.18363),32768,4000,18490,500 GB Force MP600,ITRaidDE
Time Spy,1.2,5203,10,14,Intel,15526,Core i9-10900K Processor,FCLGA1200,125,52.16,September 20 2020,NVIDIA GeForce RTX 3080,1970,1253,54,2085,1,Approved ,27.21.14.5638,1263,19103,"Giga-Byte Technology Co., Ltd.",10240,126.16,108.27,64-bit Windows 10 (10.0.18363),32768,4000,18464,500 GB Force MP600,ITRaidDE
Time Spy,1.2,4509,16,7,AMD,16517,Ryzen 9 3950X,AM4,105,55.49,September 26 2020,NVIDIA GeForce RTX 3080,1930,1282,46,2160,1,Approved ,27.21.14.5638,1282,18855,Palit Microsystems Ltd.,10240,124.34,106.99,64-bit Windows 10 (10.0.19041),32768,3740,18462,500 GB  Sabrent Rocket 4 SCSI Disk Device,VPII-2
Time Spy,1.2,5404,10,14,Intel,16744,Core i9-10900K Processor,FCLGA1200,125,56.26,September 21 2020,NVIDIA GeForce RTX 3080,1904,1345,54,2130,1,Approved ,27.21.14.5638,1345,18801,Palit Microsystems Ltd.,10240,124.16,106.57,64-bit Windows 10 (10.0.18362),16384,4698,18460,"1,024 GB ADATA SX8200PNP",Mumriken-2
Time Spy,1.2,5403,10,14,Intel,16783,Core i9-10900K Processor,FCLGA1200,125,56.39,September 21 2020,NVIDIA GeForce RTX 3080,1904,1345,52,2130,1,Approved ,27.21.14.5638,1345,18788,Palit Microsystems Ltd.,10240,124.07,106.5,64-bit Windows 10 (10.0.18362),16384,4700,18457,"1,024 GB ADATA SX8200PNP",Mumriken-2
Time Spy,1.2,5604,10,14,Intel,17322,Core i9-10900K Processor,FCLGA1200,125,58.2,September 21 2020,NVIDIA GeForce RTX 3080,1890,1344,48,2115,1,Approved ,27.21.14.5638,1344,18670,Palit Microsystems Ltd.,10240,123.91,105.37,64-bit Windows 10 (10.0.18362),16384,4696,18454,"1,024 GB ADATA SX8200PNP",Mumriken-2
