benchmark,benchmark_version,cpu_clock_freq,cpu_cores,cpu_litho,cpu_make,cpu_score,cpu_sku,cpu_socket,cpu_test,cpu_tdp,date,gpu,gpu_avg_clock_freq,gpu_avg_memclock_freq,gpu_avg_temp,gpu_clock_freq,gpu_count,gpu_driver_status,gpu_driver_version,gpu_memclock_freq,gpu_score,gpu_vendor,gpu_vram,pr_gt,os,ram,ram_clock_freq,score,storage,user
Port Royal,1.2,5135,6,14,Intel,,Core i7-8700K Processor,LGA-1151,,95,September 28 2020,NVIDIA GeForce RTX 3080,1997,1315,52,2085,1,Approved ,27.21.14.5655,1327,12378,"Giga-Byte Technology Co., Ltd.",10240,57.31,64-bit Windows 10 (10.0.18363),32768,3218,12378,500 GB Samsung SSD 960 EVO 500GB,GunnarTheFox
Port Royal,1.2,5135,6,14,Intel,,Core i7-8700K Processor,LGA-1151,,95,September 28 2020,NVIDIA GeForce RTX 3080,2009,1326,54,2070,1,Approved ,27.21.14.5655,1327,12378,"Giga-Byte Technology Co., Ltd.",10240,57.31,64-bit Windows 10 (10.0.18363),32768,3218,12378,500 GB Samsung SSD 960 EVO 500GB,GunnarTheFox
Port Royal,1.2,5103,10,14,Intel,,Core i9-10850K Processor,FCLGA1200,,95,September 29 2020,NVIDIA GeForce RTX 3080,2095,1244,49,2175,1,Approved ,27.21.14.5655,1244,12378,NVidia Corporation,10240,57.31,64-bit Windows 10 (10.0.18362),32768,2666,12378,512 GB NVMe Samsung SSD 950 SCSI Disk Device,JNeidlinger
Port Royal,1.2,5132,6,14,Intel,,Core i7-8700K Processor,LGA-1151,,95,September 29 2020,NVIDIA GeForce RTX 3080,1999,1316,53,2100,1,Approved ,27.21.14.5655,1328,12377,"Giga-Byte Technology Co., Ltd.",10240,57.3,64-bit Windows 10 (10.0.18363),32768,3218,12377,500 GB Samsung SSD 960 EVO 500GB,GunnarTheFox
Port Royal,1.2,4904,8,14,Intel,,Core i7-9700K Processor,FCLGA1151,,95,September 30 2020,NVIDIA GeForce RTX 3080,2006,1313,68,2145,1,Approved ,27.21.14.5655,1313,12376,NVidia Corporation,10240,57.3,64-bit Windows 10 (10.0.19041),32768,3700,12376,500 GB Samsung SSD 860 EVO 500GB,machocamacho1234
Port Royal,1.2,4904,8,14,Intel,,Core i7-9700K Processor,FCLGA1151,,95,September 30 2020,NVIDIA GeForce RTX 3080,2006,1313,68,2160,1,Approved ,27.21.14.5655,1313,12376,NVidia Corporation,10240,57.3,64-bit Windows 10 (10.0.19041),32768,3700,12376,500 GB Samsung SSD 860 EVO 500GB,machocamacho1234
Port Royal,1.2,4523,12,7,AMD,,Ryzen 9 3900X,AM4,,105,September 17 2020,NVIDIA GeForce RTX 3080,2031,1338,49,2100,1,Approved ,27.21.14.5616,1338,12375,"Micro-Star International Co ., Ltd.",10240,57.3,64-bit Windows 10 (10.0.18363),16384,3598,12375,"1,024 GB ADATA SX8200PNP",Lucky_n00b
Port Royal,1.2,5134,6,14,Intel,,Core i7-8700K Processor,LGA-1151,,95,September 28 2020,NVIDIA GeForce RTX 3080,2011,1327,53,2115,1,Approved ,27.21.14.5655,1327,12374,"Giga-Byte Technology Co., Ltd.",10240,57.29,64-bit Windows 10 (10.0.18363),32768,3218,12374,500 GB Samsung SSD 960 EVO 500GB,GunnarTheFox
Port Royal,1.2,5168,6,14,Intel,,Core i7-8700K Processor,LGA-1151,,95,September 29 2020,NVIDIA GeForce RTX 3080,2012,1324,54,2070,1,Approved ,27.21.14.5655,1324,12373,"Giga-Byte Technology Co., Ltd.",10240,57.28,64-bit Windows 10 (10.0.18363),32768,3242,12373,500 GB Samsung SSD 960 EVO 500GB,GunnarTheFox
Port Royal,1.2,4902,8,14,Intel,,Core i7-9700K Processor,FCLGA1151,,95,September 30 2020,NVIDIA GeForce RTX 3080,2006,1325,68,2160,1,Approved ,27.21.14.5655,1325,12371,NVidia Corporation,10240,57.28,64-bit Windows 10 (10.0.19041),32768,3700,12371,500 GB Samsung SSD 860 EVO 500GB,machocamacho1234
